"Releve","X_L93","Y_L93","Z_m","hauteur","sol_nu","SpRichness","group","Asttri","Elyath","Halpor","Junger","Junmar","Limvul","Phraus","Plamar","Pucmar","Salobs","Saleme","Sarper","Scimar","Spaang","Spaver","Trimar"
"T07",370460.327,6416010.011,1.25,45,5,5,"F",6,0,0,0,0,0,0,0,0,1,7,0,0,6,0,0
"H39",370463.1901,6416359.656,1.510344828,64,5.6,6,"C",0.4,0,5.8,0,4.6,0,0,0,0,3.2,0,0,2.2,0,0,0.8
"T50",369957.9799,6415664.454,1.44109589,10,4,7,"C",3,0,3,0,6,5,0,0,5,3,0,5,0,0,0,0
"X36",370807.5116,6415707.453,1.208229167,40,4,5,"F",6,0,0,0,2,0,0,0,0,6,0,5,0,7,0,0
"I35",371559.6009,6416050.965,1.018484848,20,8,2,"F",1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"D10",370416.5138,6416759.659,1.9515625,114,1.6,8,"D",0,0.8,5.4,1.2,7,0.8,3.2,1.4,0,0,0,0,2.2,0,0,0
"M18",370611.8083,6416208.581,1.265454545,60,6,6,"E",5,0,0,0,6,0,0,0,0,6,0,0,4,3,0,6
"S24",370109.0521,6415813.075,1.976216216,80,3,9,"D",3,0,5,4,7,5,0,3,0,2,0,0,0,0,0,4
"L23",370313.7539,6416410.831,1.721891892,79,2.6,6,"D",0,0,6.4,1.6,4.8,1.2,2.2,0,0,0,0,0,0,0,0,0
"T52",370057.8767,6415663.636,1.325384615,60,4,8,"C",3,0,5,0,7,5,0,0,3,7,0,4,0,0,0,5
"W40",371157.5594,6415754.54,0.961772152,50,5,8,"C",4,0,4,0,5,0,0,0,4,7,0,0,0,2,0,7
"H35",370563.496,6416408.787,1.48755102,33,4.8,8,"E",3,0,1.4,0,0,0,0,0,5.4,6,0,0,0,0.8,0,0
"L19",370113.9602,6416412.467,1.590232558,300,1,2,"A",1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"B18",370318.6621,6417010.223,2.50475,300,1,9,"B",0,4,0,0,3,0,2,0,0,0,0,0,0,0,4,0
"S16",370159.4095,6415862.616,1.923934426,70,1,4,"A",0,7,0,0,4,1,0,0,0,0,0,0,0,0,7,0
"X40",370557.3606,6415659.548,1.246363636,40,6,1,"F",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
"L14",370164.3177,6416462.007,1.953513514,74,2.8,11,"D",1.4,0,6.4,1.6,5.4,1.6,1.8,0,0,0,0.2,0,1,0,0,0.4
"V11",370560.2238,6416009.193,1.228518519,35,6,4,"F",4,0,0,0,0,0,0,0,0,4,6,0,0,6,0,0
"R17",370060.7398,6416013.281,1.703913043,50,4,7,"D",4,0,7,0,6,5,0,0,3,0,0,0,0,0,0,6
"I14",371411.801,6416301.938,1.56030303,31,7.2,3,"D",0,0,3.8,0,3.4,0,0,0,0,2,0,0,0,0,0,0
"A09",370718.6586,6417056.902,1.392025316,31,4.6,10,"C",3.6,0.2,3,0,0.2,0,0,1.6,5.8,0,0,0,0,0,0,0
"Q02",369761.0493,6416015.734,2.4828125,100,3,7,"A",0,4,0,5,5,0,5,0,0,0,0,0,0,0,5,0
"P02",370761.6535,6416207.355,1.495454545,75,3,8,"C",7,0,4,0,6,0,3,0,0,0,2,0,4,0,0,4
"I10",371512.5159,6416401.019,2.709375,2,8,3,"B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C09",370818.9645,6417106.033,2.116491228,106,5,5,"B",0,2.4,0,0,1.4,0,0.2,0,0,0,0,0,0,0,4,0
"G06",370915.9981,6416755.571,2.013333333,96,2.6,8,"A",0,4.4,0.4,3.6,0,0,2,0.8,0,0,0,0,3,0,3.8,0
"R23",369810.5887,6415965.376,2.72875,90,4,10,"B",0,8,0,0,2,0,4,3,0,0,0,0,0,0,2,0
"U10",371060.5259,6416105.003,1.4815,80,2,10,"C",3,0,7,0,6,0,3,0,3,5,3,0,4,0,0,5
"L03",370315.3899,6416610.629,1.752972973,300,2,2,"A",1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"I02",371313.5403,6416502.553,1.638095238,55,7.4,1,"D",0,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0
"Q08",369659.9256,6415866.704,2.534210526,85,6,7,"B",0,7,0,0,5,0,4,0,0,0,0,0,0,0,3,0
"K18",371113.7466,6416504.189,1.782121212,63,4.4,8,"A",0,0,3.4,0,0,1.8,0,1,0.8,0,0.2,0,0,0,7.8,0
"K06",371065.4344,6416704.395,1.779677419,75,3,9,"A",0,0.6,3.2,0,2.2,2,1,1.2,0,0,0.6,0,0,0,8,0
"J06",370815.6922,6416706.439,2.067368421,65,3,3,"A",0,7,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0
"T11",370459.918,6415960.061,1.222597403,30,3,4,"F",6,0,0,0,0,0,0,0,0,6,5,0,0,4,0,0
"A16",370817.7374,6416956.185,2.482444444,24.8,6.6,5,"A",0,2.8,1.4,0,0.4,0,0,0,0,0,0,0,0,0,3.6,0
"A23",370866.8678,6416855.878,2.442894737,46,4.6,8,"B",0,5.4,0,0,0,0,0.4,2.2,0,0,0,0,0,0,6.6,0
"H20",370514.3656,6416509.095,1.299767442,29,7,7,"D",0.6,0,3.4,0.8,0.8,0.8,0,0,3.2,0,0,0,0,0,0,2.6
"P04",370861.5503,6416206.537,1.616262626,30,6,7,"C",3,0,0,0,7,5,0,1,4,0,0,0,0,0,0,7
"U37",371459.2951,6416001.834,0.966808511,45,9,2,"F",0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0
"P08",370711.2961,6416157.814,1.340121951,45,4,6,"C",6,0,0,0,4,0,0,0,0,6,2,0,7,0,0,5
"I12",371462.1584,6416351.479,1.357575758,22,3.8,9,"C",1.6,0,2,0,1.4,2.6,0,0,0.6,5.4,0,0,0.2,0.2,0,4
"C02",370769.8341,6417206.341,2.376486486,37,7.4,4,"A",0,2.6,0.6,0,7,0,0,0,0,0,0,0,0,0,0,0
"P17",369911.7126,6416114.406,1.777021277,100,4,4,"D",0,0,7,0,0,0,8,0,0,1,0,0,0,0,0,0
"R01",369811.4067,6416065.274,2.495471698,57,5.8,9,"B",0,4.6,0,0,3.2,0,1.6,0.4,0,0,0,0,0,0,3.6,0
"P35",370810.7839,6416107.047,1.378431373,65,4,9,"E",4,0,4,0,6,0,2,0,0,6,2,0,2,2,0,4
"F08",370766.5619,6416806.746,2.26,55,1,4,"A",0,7,0,0,4,0,2.2,0,0,0,0,0,0,0,7,0
"N39",370762.0626,6416257.304,1.670333333,90,4,7,"D",1,0,7,0,6,2,1,0,0,0,0,0,5,0,0,4
"O13",371062.1621,6416304.8,1.305,48,5.2,8,"D",0,0,4.2,0,4.2,0.8,1.2,0.8,0,0,0,0,0,0,0,0
"V29",370959.402,6415955.973,1.154897959,35,7,4,"F",4,0,0,0,0,0,0,0,0,5,7,0,0,3,0,0
"F09",370816.5103,6416806.338,2.364,45,3,4,"A",0,7,0,0,4,0,2.2,0,0,0,0,0,0,0,7,0
"J18",370814.4651,6416556.591,1.9192,49,4.6,10,"D",2.8,0.2,2,4.4,4.8,0.6,0.2,0.6,3.4,5.2,0,0,0,0,0,0
"H40",370513.1385,6416359.247,1.589375,76,5.2,6,"E",3,0,0.8,0,6.6,0,0,0,0,4.4,0,0,2.2,1,0,0
"S02",369910.0765,6415914.609,2.112941176,80,2,13,"D",1,0,3,3,8,3,1,2,1,0,5,0,0,0,0,1
"G02",370866.4587,6416805.929,2.210722892,31,6.2,6,"A",0,3.8,0.2,0,2.4,0,0,4.4,0,0,0,0,0,0,4.4,0
"H25",370414.0597,6416459.963,1.801818182,43,2.6,6,"D",0.8,0,9.6,0,1.8,0,0,0,0.2,0,0,0,3.8,0,0,0
"J17",370864.8226,6416606.131,2.053235294,65,2,3,"A",0,7,0,0,6,0,0,0,0,0,0,0,0,0,7,0
"H02",370465.2352,6416609.402,1.606315789,77,2.6,5,"D",0,0,6.6,0,5.6,0.2,2.8,0,0,0,0,0,1.2,0,0,0
"B15",370518.8648,6417058.537,2.32490566,35,2,9,"B",0,7,0,5,1,0,3,0,0,0,0,0,0,0,8,0
"R03",369911.3036,6416064.457,2.484791667,50,6.8,6,"B",0,3.8,0.4,0,1,0,0.2,0,0,0,0,0,0,0,6.4,0
"L22",370263.8055,6416411.24,1.81625,200,3,4,"A",0,0,0,0,0,0,9,0,0,0,1,0,3,0,0,0
"K13",371064.2073,6416554.547,1.872702703,70,4,4,"A",0,5,0,0,4,2,0,0,0,0,0,0,0,0,8,0
"O32",371311.086,6416202.857,1.415081967,35,4,4,"E",0,0,5,0,0,0,0,0,0,0,8,4,0,1,0,0
"G03",370916.4072,6416805.52,2.204878049,45,3,3,"B",0,7,0,0,0,0,3,0,0,0,0,0,0,0,7,0
"W06",371309.0408,6415953.111,1.114067797,15,10,2,"F",0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0
"O21",371161.6499,6416254.033,1.728529412,40,1,5,"D",2,0,10,0,4,0,0,0,3,0,0,0,0,0,0,0
"Q28",369708.238,6415666.498,1.375423729,30,4.8,11,"E",2,0,2,0,0,1.6,0,0,2.4,1.6,3.6,0.8,0,0.8,0,0.6
"H07",370714.9773,6416607.358,1.443571429,42,6.4,8,"D",0,0,4.8,0,3.6,1.6,1.2,0,0.8,0,0,0,1,0,0,1
"X33",370657.6664,6415708.68,1.244202899,50,5,2,"F",0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0
"O05",371112.9286,6416404.29,1.544571429,50,2,8,"D",1,0,5,0,7,7,0,1.2,0,0,0,4,2.4,0,0,0
"S38",369908.4405,6415714.812,1.971075269,10,7,8,"C",3,1,5,0,0,3,0,2,6,0,0,4,0,0,0,0
"P29",370511.0934,6416109.5,1.242,45,7,3,"E",4,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0
"K01",371016.7131,6416854.651,1.309736842,63,6.2,15,"A",1.4,1.8,1.4,0,0,0,2.2,0,1,0,1.4,0,0.2,0,0,0.8
"B29",370518.0468,6416958.638,2.052888889,39,4.8,7,"A",0,3.8,4,0,3.6,0,1.6,0,0,0,0,0,0,0,3.2,0
"P37",370910.6807,6416106.23,1.404262295,40,5,9,"D",0.4,0,4.4,0,0.4,0,0,0.6,0,0.8,0,0,2.4,0,0,6
"E10",370566.7682,6416808.382,1.920714286,74,3.6,5,"A",0,7.2,2.6,1.4,1.4,0,3.2,0,0,0,0,0,0,0,0,0
"X01",370558.9967,6415859.345,1.257213115,45,4,6,"E",6,0,4,0,0,0,0,0,3,8,0,3,0,3,0,0
"N03",370763.6987,6416457.101,1.826774194,110,4,6,"D",1,0,7,0,7,0,4,0,0,0,0,0,5,0,0,0
"W28",371408.1195,6415852.395,0.961612903,25,8,4,"F",0,0,0,0,0,0,0,0,0,4,5,2,0,5,0,0
"X34",370707.6148,6415708.271,1.2005,40,9,2,"F",0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0
"V30",371009.3504,6415955.564,0.955,30,8,3,"F",3,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0
"D20",370365.7474,6416660.169,1.744772727,55,1,3,"D",0,0,8,0,4,0,0,0,0,0,0,0,7,0,0,0
"X29",370957.7658,6415756.176,1.077741935,45,7,6,"E",6,0,0,0,2,1,0,0,0,6,0,2,0,3,0,0
"A24",370916.8162,6416855.469,2.189807692,29.4,5.6,13,"A",0,4,0.4,2,1.4,0.8,0.2,1.2,0,0,0,0,0,0,2.8,0
"I23",371510.8797,6416201.222,1.607341772,18,7.4,6,"E",2,0,0,0,0,1.2,0,0,0,4.2,0,0,0.2,0,0,3.4
"G14",370965.1285,6416655.263,1.84030303,78,3,9,"D",0,4.6,3.2,3.4,3.6,1.2,1.2,3,0,0,0,0,2.6,0,0,0
"O06",371162.877,6416403.881,1.211,40,2,3,"D",0,0,9,0,5,4,0,0,0,0,0,0,0,0,0,0
"J10",370565.5411,6416658.534,1.842682927,68,3.2,12,"D",0.8,2.8,2,5.2,4.4,3,1,3.8,0,2,0,0,0,0,0,0
"S25",370159.0005,6415812.666,2.005619048,20,7,7,"D",0,4,3,0,5,5,0,0,0,0,1,0,0,0,0,0
"C12",370818.5554,6417056.084,1.876363636,140,2.4,11,"A",0,2.4,5.2,0,1.2,0.6,1.6,0,1.6,1,0,0,2,0,0,2
"G23",370963.9014,6416505.415,1.799444444,78,3.6,7,"A",0.8,0,2.8,2,4.6,0,0.4,0,0,0,0,0,2,0,5.4,0
"Q01",369761.4583,6416065.683,2.5776,100,3,12,"B",0,3,0,4,5,0,4,0,0,0,0,0,0,0,3,0
"L33",370213.039,6416311.75,1.651132075,65,4,5,"C",4.4,0,4.2,0,4,0,0,0,0,0,4,0,7,0,0,0
"I25",371610.7765,6416200.404,1.43425,24,6.6,4,"C",2,0,0,0,0,0,0,0,7.2,1.6,0,0,0,0,0,1
"K14",371114.1557,6416554.138,1.599736842,45,3,8,"D",1,0,7,0,3,5,0,2,2,0,3,0,0,0,0,0
"O03",371163.286,6416453.831,1.4359375,25,1,4,"D",0,0,9,0,2,4,0,1,0,0,0,0,0,0,0,0
"Q19",369759.0044,6415765.988,2.469411765,35,5,6,"A",0,4,0,0,3,4,0,0,0,0,0,0,0,0,6,0
"C19",371017.1221,6416904.601,2.045833333,200,3,4,"B",0,6,0,0,5,0,3,0,0,0,0,0,0,0,0,0
"B22",370518.4558,6417008.588,2.445277778,50,2,5,"A",0,7,0,0,7,0,3,0,0,0,0,0,0,0,7,0
"K07",371115.3828,6416703.986,2.079647059,20,6,10,"D",0.2,0.2,3.4,0,0,0,0.2,0,0,0,4,0,0,0,0.6,0
"C01",370770.2431,6417256.29,2.549302326,47,6.8,3,"B",0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0
"V34",370709.251,6415908.068,1.284285714,20,8,6,"C",2,0,3,0,0,1,0,0,0,0,4,0,0,0,0,0
"N25",370562.6779,6416308.889,1.650833333,50,3,7,"C",3,0,7,0,6,2,0,0,0,5,0,0,0,0,0,5
"D06",370366.9744,6416810.017,2.390340909,25,8.8,6,"B",0,2.6,0,0,0,0,0,0.2,0,0,0,0,0,0,5.2,0
"J21",370813.6471,6416456.692,1.674358974,77,4,7,"D",0,2.4,3,0,6,0,1,0,0.8,0,0,0,0,0,0,0
"W08",371408.9376,6415952.293,1.046708861,20,4,9,"E",7,0,0,0,4,4,0,0,4,4,4,7,0,2,0,0
