"Releve","X_L93","Y_L93","Z_m","hauteur","sol_nu","SpRichness","group","Asttri","Elyath","Halpor","Junger","Junmar","Limvul","Phraus","Plamar","Pucmar","Salobs","Saleme","Sarper","Scimar","Spaang","Spaver","Trimar"
"K08",371065.0253,6416654.445,1.746923077,85,4,6,"A",0,3,2,0,5,4,0,4,0,0,0,0,0,0,7,0
"S09",369809.7708,6415865.477,2.577435897,60,3,10,"A",0,6,0,0,3,2,2,2,0,0,0,0,0,0,7,0
"R14",369910.8946,6416014.508,2.175230769,65,4,4,"A",0,6,0,0,5,0,3,0,0,0,0,0,0,0,6,0
"M19",370661.7567,6416208.172,1.363243243,70,4,7,"C",6,0,5,0,6,1,0,0,0,3,4,0,6,0,0,0
"O17",371261.9557,6416303.165,1.548518519,20,2,8,"C",0,0,4.4,0,1.6,2.8,0,2,1.6,0,0,6,0,0,0,0.6
"I26",371660.7249,6416199.995,1.380535714,9,9.2,5,"E",1.4,0,0.6,0,0,1.2,0,0,0,4,0,0,0,0,0,0.8
"S37",369858.4921,6415715.221,2.321978022,13,9,7,"A",0,3,2,0,2,4,0,0,0,0,0,0,0,0,2,0
"N27",370662.5748,6416308.071,1.367777778,100,1,6,"D",0,0,7,0,6,0,5,0,0,1,0,0,6,0,0,0
"A19",370817.3284,6416906.236,2.650727273,46,5,8,"A",0,4.2,0,0,5.2,0,0.2,0.8,0,0,0,0,0,0,4.2,0
"V20",371009.7594,6416005.513,0.942258065,40,8,3,"F",3,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0
"H14",370664.6199,6416557.817,1.722954545,70,2,6,"D",0,0,6,2,7.4,0.8,2,0,0,0,0,0,0,0,0,3.6
"H28",370563.905,6416458.737,1.566,80,3,6,"D",0,0,7,0,7,4,0,0,0,0,0,0,5,0,0,3
"H17",370364.5203,6416510.321,1.715510204,88,4,7,"D",0,0,8,0,5,0.8,0,0,3.4,0,0,0,2,0,0,4
"N28",370712.5232,6416307.662,1.580615385,45,4,7,"D",2,0,6,0,4,2,0,0,0,1,0,0,6,0,0,6
"L39",370212.63,6416261.801,1.206621622,32,8.2,9,"E",2,0,0,0,2.8,1,0,0,1,0,2.2,0,0.2,0.8,0,0.8
"B21",370468.5074,6417008.996,2.429555556,39,4.6,7,"A",0,5.6,0,3.2,1.4,0,2.2,0,0,0,0,0,0,0,4,0
"V04",370710.478,6416057.916,1.26238806,30,8,4,"F",5,0,0,0,0,0,0,0,0,5,4,0,0,2,0,0
"G05",370866.0497,6416755.979,2.28,50,3,4,"B",0,7,0,0,3,0,1,0,0,0,0,0,0,0,7,0
"M13",370362.0662,6416210.625,1.385277778,65,4,7,"C",2,0,6,0,7,2,0,0,0,0,4,0,3,0,0,5
"L25",370113.5512,6416362.517,1.57425,300,2,4,"D",2.2,0,2.8,0,0,0,6,0,0,0,2,0,0,0,0,0
"X16",370808.3297,6415807.352,1.231395349,35,4,3,"F",6,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0
"A10",370668.3011,6417007.361,2.406147541,8.2,8,6,"A",0,1,4,0,0,0,0,0,0,0,0,0,0,0,3.2,0
"N07",371013.4408,6416455.057,1.467419355,65,1,3,"A",0,7,7,0,0,0,4,0,0,0,0,0,0,0,0,0
"F01",370717.8405,6416957.003,2.380816327,62,3,7,"A",0,5,0,0,5.8,0,0,0.8,0,0,0,0,0,0,6,0
"L34",370262.9875,6416311.342,1.606444444,40,4.8,8,"C",2,0,5,0,2.4,0,0,0,4.6,0,4.2,0,1.6,0.8,0,4
"U12",371160.4227,6416104.185,1.635,40,7,3,"C",0,0,8,0,3,0,0,0,0,3,0,0,0,0,0,0
"T17",370459.5089,6415910.112,1.24671875,40,3,4,"F",6,0,0,0,0,0,0,0,0,8,2,0,0,5,0,0
"N20",370812.829,6416356.794,1.642051282,230,2,7,"D",2,0,7,0,5,2,7,0,0,0,0,0,3,0,0,3
"I33",371609.9584,6416100.506,1.221818182,35,4,9,"C",6,0,6,0,0,4,0,3,4,5,3,0,0,0,0,5
"E08",370667.074,6416857.513,2.142083333,75,2.4,3,"B",0,6.6,0,0,0,0,3,0,0,0,0,0,0,0,8,0
"D09",370366.5654,6416760.068,1.6725,114,3.6,6,"D",0,2,4.2,0,1.6,0,5.2,0,0,0,0,0,2.2,0,0,0
"Q17",369659.1076,6415766.805,2.384102564,70,3,6,"A",0,6,0,0,5,4,3,0,0,0,0,0,0,0,6,0
"B28",370468.0983,6416959.047,2.176470588,100,2,5,"B",0,9,0,0,2,0,2,0,0,0,0,0,0,0,4,0
"U33",371259.5015,6416003.469,1.424285714,60,4,5,"E",4,0,0,0,6,0,0,0,0,8,3,0,0,4,0,0
"D08",370466.8713,6416809.199,1.855151515,150,3,8,"D",2,0,4,5.2,5.6,3,6,6,0,0,0,0,0,0,0,0
"N34",371012.2137,6416305.209,1.741020408,65,2.4,10,"D",0.4,0.8,7,0,1.4,0,2.8,0,2,1.4,0,0,0.6,0,2.8,1.8
"S20",369909.2585,6415814.711,2.249285714,80,6,5,"A",0,4,1,0,7,1,0,0,0,0,0,0,0,0,5,0
"Q22",369658.6986,6415716.856,2.231304348,70,4,9,"D",2,2,4,0,8,4,1,0,0,0,0,0,0,0,4,0
"L15",370214.2661,6416461.598,1.887272727,90,4,8,"D",0,0,6,4.8,7,3,2.8,0,0,0,0,0,4,0,0,3
"X27",370857.8691,6415756.994,1.297073171,40,4,7,"E",4,0,0,0,4,0,0,0,3,6,0,0,0,3,0,6
"V18",370909.8626,6416006.331,1.0665,15,10,4,"E",2,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0
"Q05",369660.3345,6415916.653,2.429473684,200,1,6,"B",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"T54",370157.7735,6415662.819,1.326,55,4,5,"E",4,0,0,0,6,0,0,0,0,8,0,5,0,0,0,0
"W17",371358.5802,6415902.753,1.031594203,40,8,8,"E",4,0,0,0,0,0,0,0,3,8,7,0,0,3,0,4
"S06",370109.8701,6415912.974,1.718484848,70,3,9,"D",1,0,4,4,8,5,0,2,0,0,2,0,0,0,0,5
"B23",370568.4042,6417008.179,2.086216216,62,3.4,6,"D",0,0,8,0,3.6,1.4,3.2,0,0,0,0,0,0.6,0,0,0
"Q20",369558.8018,6415717.674,2.620638298,78,4.2,9,"A",0,2.2,0,0,4.8,1.6,2.6,0,0,0,0,0,0,0,3.6,0
